latitude,longitude,placeID,category,placeName
52.220539,21.010349,ChIJF8u2SOnMHkcR7TrJJ2_WP80,university,mini
52.222157,21.007131,ChIJOWqUcOzMHkcROp3KVw-z22k,university,mini
52.129028,21.066516,ChIJA1EHdJgtGUcRfgrcZf-1y8w,home,klaudias_home
52.230146,21.002703,ChIJTeWAPIzMHkcRXOfYhMkscBI,shopping,zlote_tarasy
52.229614,21.002375,ChIJT8zquI3MHkcRT8t5IL-qhGs,shopping,zlote_tarasy
52.128991,21.065424,ChIJEZoZbZgtGUcR33xqnX7JPlI,home,klaudias_home
52.128864,21.065024,ChIJJTQFFZgtGUcR56w6CTfS4Sc,home,klaudias_home
52.129531,21.064109,ChIJ1eENRpgtGUcRNiU_TXjAQJM,home,klaudias_home
52.163845,21.026112,ChIJRbUMt5QyGUcRYcsU07KsfUw,entertainment,zdrofit
52.143894,21.0542,ChIJ1ct2nUwtGUcR6hsKewA9psI,other,hairdresser
52.155252,21.034855,ChIJjx5w448yGUcRV6ZM2_VdJ8M,shopping,biedronka_stoklosy
52.129119,21.065779,ChIJh8cbGsEtGUcRg08hvPsBltA,entertainment,loop_fitness
52.146123,21.043912,ChIJR2B1yIEyGUcREqvv0_knRe8,shopping,
52.131753,21.057892,ChIJNa0oNpotGUcRYKutQi2l4o8,shopping,rossmann
52.135191,21.049539,ChIJGzeJZIQtGUcRO7V2cBaTBnY,other,lashes
52.140339,21.057582,ChIJ-djeq4ItGUcR_Z-0W13yJb0,shopping,superpharm
52.134056,21.062089,ChIJp3_RApwtGUcRjBeO4SldHUI,shopping,rossmann
52.221278,21.010564,ChIJtfiare7MHkcRU3S1ixSpcnM,restaurants,pizza_politechnika
52.28886,20.9319,ChIJ_fyXfy_KHkcR8YC0BTGboXE,transport,bus_stop
52.297503,20.906679,ChIJP_gbiRzKHkcRikfhqpSSvDA,entertainment,climbing
52.282264,20.920511,ChIJmeh-3zvKHkcRHO-EinaD5QY,transport,bus_stop
52.246389,20.99367,ChIJ42xRrX7MHkcR8eCUNcawhqc,entertainment,friends_house
52.150152,21.046419,ChIJ906hXoIyGUcRRI_kS7FPFAg,transport,stop
50.929741,22.253498,ChIJJfPc1HroIkcR16c9fXvkCyc,transport,stop
49.989097,22.106879,ChIJBxty4SHxPEcRJTbdbeVvsHA,home,family_home
50.026735,22.015961,ChIJIy6qKlj6PEcR1ag7JVqm03I,shopping,millenium_hall
50.026601,22.014732,ChIJ6yNoIVj6PEcRLlh1V4RS-rw,shopping,millenium_hall
50.019892,22.018502,ChIJpewrl1z6PEcRZxNO8-XdDeU,shopping,plaza
50.019781,22.018822,ChIJQZPVjQT7PEcRDVeugblxFXE,shopping,plaza
50.037962,22.0226,ChIJz4nvCvD6PEcRV7RHqH3mfTM,entertainment,gym
50.058862,21.940075,ChIJGTFYdZr8PEcRXXBgrSgYeVQ,entertainment,friends_house
50.037478,22.004647,ChIJ7RG0DgL7PEcRKoS1-ky6_Ak,restaurants,bar
50.035447,22.03554,ChIJmRc8UO36PEcRHXF45T5lolg,shoppping,lidl
50.03512,22.040107,ChIJcyc6oJL6PEcRUHBmt-_0hVM,other
50.033291,22.034091,ChIJhfhuPlP7PEcRARuQ2yK2lIk,shoppping,lidl
50.027133,22.041744,ChIJFV0gqhL7PEcRPlcDev5AN80,shopping,aldi
49.982315,22.113569,ChIJxxzCYDvxPEcRVDgccWpaw0w,shopping,grocery
50.058839,21.939615,ChIJlZ_fnpD8PEcRXcrFe272xVw,entertainment,friends_house
50.05922,21.940395,ChIJX0f7CZr8PEcRiukgjDlu8v8,entertainment,friends_house
52.131293,21.06574,ChIJlzWnN70tGUcRsLTLGMOmGdc,transport,metro_kabaty
52.208937,21.008737,ChIJ_SJ_NdvMHkcRZdYYXWD2Q7E,transport,metro_pole_mokotowskie
52.22884,21.00327,ChIJWTUjZY3MHkcR2U7HZ_LJC-s,shopping,zlote_tarasy
52.219501,21.015339,ChIJD9StvOjMHkcRvSFaLhn0Qb4,transport,stop
52.229278,20.959009,ChIJUQny9WbLHkcRvotyC0ysr7M,entertainment,friends_house
52.230499,21.010829,ChIJIQZkFPPMHkcRpQq8gdD-KIw,transport,metr_centrum
52.181626,21.022873,ChIJnYDN2s8yGUcRMTeG8Lt_WEI,transport,metro_wilanowska
52.204741,20.959326,ChIJ07TYV6rMHkcRRAUQ0C9LhlE,entertainment,gorka_sczesliwicka
52.231117,21.011359,ChIJ6eFsD_TMHkcRxdd5F5AgcDA,shopping
52.231705,21.011242,ChIJ55j7A2PMHkcRVrjfaQJBbx8,shopping
52.129479,21.065922,ChIJ4zcPZpgtGUcRZF9Ut87mAoU,shopping,zabka
52.220898,21.013656,ChIJlXJwlFnNHkcRA6tM8KnHtWU,entertainment,coffe
52.220656,21.009989,ChIJGVrIUenMHkcRkSvEAxUOK3E,university,mini
52.212759,20.955427,ChIJUb1WoVfLHkcR_hRLT0p07mQ,shopping,blue_city
52.212639,20.95574,ChIJt5dWoVfLHkcRtXMPWXGA12o,shopping,blue_city
52.229346,21.007076,ChIJ249xMY3MHkcRkGgnFhTHz4g,transport,metro_centrum
52.155964,21.033455,ChIJv6t_JJAyGUcRUJVvd5pu6ps,shopping,biedronka_stoklosy
