endTime,startTime,hierarchyLevel,visitProbability,topCandidateProbability,semanticType,placeID,latitude,longitude,relativeWeekNum
2024-12-06T09:50:56.900+01:00,2024-12-05 21:03:10.634,0,0.720056,0.719981,Home,ChIJ41Yyy_7KHkcRUTyBDVozopw,52.252081,20.911787,0
2024-12-06T11:50:39.779+01:00,2024-12-06 10:16:05.319,0,0.852444,0.500179,Unknown,ChIJF8u2SOnMHkcR7TrJJ2_WP80,52.220539,21.010349,0
2024-12-06T11:49:51.252+01:00,2024-12-06 10:16:05.319,1,0.852444,0.548199,Unknown,ChIJOWqUcOzMHkcROp3KVw-z22k,52.222157,21.007131,0
2024-12-06T12:39:12.941+01:00,2024-12-06 11:56:28.556,0,0.759393,0.152986,Unknown,ChIJBV4ts-HNHkcR7k8uYM2Nrm0,52.225487,21.011420,0
2024-12-06T15:25:47.538+01:00,2024-12-06 12:48:18.280,0,0.985666,0.552125,Unknown,ChIJi1Ksq-jMHkcRKeEbJ6EHbRo,52.241110,21.000421,0
2024-12-06T15:54:36.186+01:00,2024-12-06 15:39:04.320,0,0.916108,0.443812,Unknown,ChIJRQMM1PbMHkcRcCEGmuFFxks,52.230522,21.020726,0
2024-12-06T15:52:50.657+01:00,2024-12-06 15:39:04.320,1,0.916108,0.38424,Unknown,ChIJgx3V0_bMHkcRKdo30gasVwk,52.230616,21.020770,0
2024-12-06T16:01:02.885+01:00,2024-12-06 15:54:36.186,0,0.293374,0.24439,Unknown,ChIJIQZkFPPMHkcRpQq8gdD-KIw,52.230499,21.010829,0
2024-12-06T20:08:43.834+01:00,2024-12-06 16:40:43.346,0,0.544234,0.76016,Home,ChIJ41Yyy_7KHkcRUTyBDVozopw,52.252081,20.911787,0
2024-12-06T20:38:48.071+01:00,2024-12-06 20:34:29.661,0,0.603747,0.322395,Unknown,ChIJ-03Evo7MHkcROWhT6s_GVlU,52.232551,20.999523,0
2024-12-06T23:41:33.072+01:00,2024-12-06 21:04:19.320,0,0.801438,0.928395,Unknown,ChIJ916NDfPMHkcR9ru4Y7VuuCM,52.178934,21.003812,0
2024-12-06T23:41:33.072+01:00,2024-12-06 21:15:14.968,1,0.801438,0.631301,Unknown,ChIJg--Tk9gyGUcRg9FNyP4xV8s,52.179060,21.004202,0
2024-12-07T12:05:46.156+01:00,2024-12-06 23:57:18.196,0,0.616232,0.590654,Searched Address,ChIJh5dJ3DEzGUcRDeoctCSY8T4,52.189517,20.992322,0
2024-12-07T12:28:53.933+01:00,2024-12-07 12:08:27.939,0,0.517581,0.235881,Unknown,ChIJC7EVXWkzGUcRep3-TKxym0E,52.187565,20.992191,0
2024-12-08T13:38:18.562+01:00,2024-12-07 12:28:53.933,0,0.631972,0.619756,Searched Address,ChIJh5dJ3DEzGUcRDeoctCSY8T4,52.189517,20.992322,0
2024-12-08T17:56:48.833+01:00,2024-12-08 14:02:03.902,0,0.579826,0.33159,Searched Address,ChIJhyCNaz7MHkcRfJL7bpYY5A8,52.260074,21.034165,0
2024-12-09T17:08:25.533+01:00,2024-12-09 10:38:04.007,0,0.824587,0.25047,Unknown,ChIJq6ECnInNHkcRFpKQ1cTvVus,52.254501,20.996745,1
2024-12-09T17:50:14.500+01:00,2024-12-09 17:12:55.100,0,0.859926,0.904802,Unknown,ChIJm_uSxY7LHkcRfCl8PScvsxI,52.256456,20.984225,1
2024-12-09T17:17:44.071+01:00,2024-12-09 17:12:55.100,1,0.859926,0.175522,Unknown,ChIJsWoMJY_LHkcRtyS7XlHfTvs,52.256107,20.983502,1
2024-12-10T17:57:51.793+01:00,2024-12-09 19:44:05.076,0,0.685889,0.62656,Home,ChIJ41Yyy_7KHkcRUTyBDVozopw,52.252081,20.911787,1
2024-12-10T18:35:29.156+01:00,2024-12-10 17:58:22.567,0,0.792224,0.536702,Unknown,ChIJp8naBVXKHkcRvKqgvYDj5Qk,52.256497,20.920567,1
2024-12-11T16:02:26.127+01:00,2024-12-11 16:01:19.700,0,0.402998,0.216609,Unknown,ChIJix7ahIHNHkcRPMe-4fOX6cg,52.223741,21.008250,1
2024-12-11T16:47:33.950+01:00,2024-12-11 16:02:26.127,0,0.911481,0.0,Unknown,ChIJF8u2SOnMHkcR7TrJJ2_WP80,52.220539,21.010349,1
2024-12-11T16:47:33.950+01:00,2024-12-11 16:02:26.127,1,0.911481,0.414653,Unknown,ChIJOWqUcOzMHkcROp3KVw-z22k,52.222157,21.007131,1
2024-12-11T17:10:01.164+01:00,2024-12-11 16:56:40.944,0,0.688714,0.23599,Unknown,ChIJxeIYhvTMHkcRWA4c20C4GPQ,52.232225,21.013451,1
2024-12-11T18:28:59.773+01:00,2024-12-11 17:37:53.684,0,0.972884,0.316686,Unknown,ChIJ_UxgRovLHkcR0LnAQ5VMb54,52.262504,20.991677,1
